,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
6476,07/19/2020,TX,325030,,,7300,0.0,3958,,,93,0.0,07/20/2020 02:35:44 PM,Not agree,Not agree
6477,09/16/2020,NE,39419,,,449,0.0,439,,,3,0.0,09/17/2020 01:45:45 PM,Not agree,Not agree
6478,12/24/2020,AR,211145,,,3204,846.0,3406,,,30,23.0,12/25/2020 02:25:34 PM,Not agree,Not agree
6479,08/09/2020,MA,121040,112459.0,8581.0,329,43.0,8735,8514.0,221.0,14,0.0,08/10/2020 02:23:35 PM,Agree,Agree
6480,03/15/2020,VA,51,,,22,,1,,,1,,03/26/2020 04:22:39 PM,Agree,Agree
6481,03/07/2020,RMI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6482,09/11/2020,NYC,238522,233216.0,5306.0,770,480.0,23743,19120.0,4623.0,4,0.0,09/12/2020 02:12:43 PM,Agree,Agree
6483,06/23/2020,KY,14141,13736.0,405.0,302,15.0,537,533.0,4.0,11,0.0,06/24/2020 03:03:27 PM,Agree,Agree
6484,06/12/2020,GA,54974,54566.0,408.0,963,84.0,2418,2418.0,0.0,43,0.0,06/13/2020 01:46:26 PM,Agree,Agree
6485,10/12/2020,IN,136555,,,1574,0.0,3795,3568.0,227.0,6,0.0,10/13/2020 01:29:38 PM,Not agree,Agree
6486,06/07/2020,PR,4985,1364.0,3621.0,70,66.0,142,63.0,79.0,0,0.0,06/08/2020 02:55:08 PM,Agree,Agree
6487,05/25/2020,WA,20065,,,237,0.0,1070,,,9,0.0,05/26/2020 02:23:02 PM,,
6488,02/16/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
6489,08/28/2020,AS,0,,,0,0.0,0,,,0,0.0,08/29/2020 01:42:50 PM,,
6490,01/28/2020,NE,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
6491,12/10/2020,AZ,387529,373427.0,14102.0,4928,650.0,7154,6610.0,544.0,73,14.0,12/11/2020 03:06:51 PM,Agree,Agree
6492,01/16/2021,OK,359807,283920.0,75887.0,3210,1035.0,2996,2749.0,247.0,34,5.0,01/17/2021 03:43:14 PM,Agree,Agree
6493,05/13/2020,OR,3416,3416.0,0.0,58,-75.0,134,134.0,0.0,4,0.0,05/14/2020 05:25:44 PM,Agree,Agree
6494,11/06/2020,CT,78125,73206.0,4919.0,1065,120.0,4671,3757.0,914.0,15,2.0,11/07/2020 02:45:17 PM,Agree,Agree
6495,12/14/2020,AS,3,,,0,0.0,0,,,0,0.0,12/15/2020 02:39:02 PM,,
