,RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30
63,394753,64,"Knoxville, TN",Msa,TN,35.0,34.0,26.0,17.0,14.0,15.0,16.0,17.0,19.0,21.0,24.0,28.0,31.0,28.0,21.0,14.0,11.0,13.0,13.0,14.0,13.0,14.0,16.0,21.0,25.0,23.0,16.0,10.0,9.0,10.0,9.0,7.0,6.0
64,394653,65,"Greenville, SC",Msa,SC,23.0,21.0,15.0,12.0,11.0,12.0,13.0,15.0,17.0,19.0,23.0,29.0,30.0,27.0,19.0,15.0,13.0,14.0,15.0,17.0,20.0,23.0,25.0,30.0,31.0,29.0,21.0,15.0,14.0,14.0,13.0,11.0,9.0
65,394952,66,"Ventura, CA",Msa,CA,22.0,19.0,15.0,13.0,13.0,15.0,18.0,21.0,23.0,26.0,31.0,36.0,38.0,34.0,27.0,21.0,18.0,18.0,20.0,22.0,24.0,24.0,25.0,27.0,28.0,24.0,16.0,14.0,15.0,16.0,14.0,11.0,10.0
66,394318,67,"Allentown, PA",Msa,PA,52.0,54.0,49.0,45.0,36.0,38.0,41.0,42.0,42.0,41.0,51.0,54.0,55.0,56.0,55.0,51.0,42.0,38.0,37.0,42.0,42.0,50.0,48.0,58.0,59.0,61.0,48.0,43.0,42.0,42.0,32.0,25.0,24.0
67,394561,68,"El Paso, TX",Msa,TX,56.0,51.0,49.0,47.0,45.0,45.0,41.0,41.0,41.0,42.0,45.0,47.0,,,,,,,,,97.0,87.0,,,,,,90.0,90.0,,76.0,,28.0
68,394367,69,"Baton Rouge, LA",Msa,LA,32.0,30.0,27.0,33.0,39.0,47.0,40.0,37.0,31.0,39.0,40.0,57.0,51.0,40.0,26.0,35.0,50.0,53.0,53.0,57.0,61.0,57.0,55.0,57.0,64.0,62.0,52.0,39.0,37.0,36.0,33.0,28.0,25.0
69,394521,70,"Dayton, OH",Msa,OH,32.0,29.0,23.0,16.0,13.0,12.0,13.0,15.0,18.0,19.0,24.0,31.0,36.0,36.0,27.0,17.0,9.0,7.0,9.0,10.0,11.0,12.0,13.0,20.0,21.0,19.0,11.0,7.0,6.0,5.0,4.0,4.0,4.0
70,394843,71,"McAllen, TX",Msa,TX,55.0,50.0,54.0,55.0,49.0,51.0,57.0,57.0,47.0,45.0,45.0,58.0,76.0,79.0,70.0,60.0,64.0,74.0,79.0,86.0,81.0,81.0,73.0,83.0,77.0,75.0,61.0,56.0,58.0,60.0,58.0,48.0,39.0
71,394486,72,"Columbia, SC",Msa,SC,49.0,46.0,41.0,34.0,31.0,30.0,25.0,26.0,35.0,44.0,43.0,37.0,33.0,31.0,28.0,24.0,28.0,28.0,30.0,31.0,39.0,48.0,61.0,65.0,67.0,48.0,45.0,43.0,43.0,33.0,23.0,21.0,22.0
72,394648,73,"Greensboro, NC",Msa,NC,52.0,54.0,50.0,44.0,36.0,34.0,32.0,27.0,23.0,18.0,19.0,23.0,28.0,26.0,19.0,12.0,10.0,10.0,10.0,10.0,12.0,13.0,13.0,17.0,19.0,18.0,12.0,10.0,9.0,9.0,7.0,6.0,6.0
73,394304,74,"Akron, OH",Msa,OH,57.0,56.0,50.0,40.0,33.0,33.0,33.0,34.0,36.0,39.0,43.0,47.0,51.0,50.0,43.0,35.0,28.0,28.0,29.0,31.0,34.0,36.0,38.0,42.0,46.0,46.0,37.0,28.0,23.0,,,,15.0
74,753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,44.0,45.0,44.0,43.0,46.0,47.0,46.0,44.0,42.0,38.0,37.0,38.0,43.0,43.0,46.0,48.0,53.0,53.0,51.0,48.0,42.0,38.0,35.0,37.0,38.0,36.0,33.0,31.0,38.0,39.0,35.0,25.0,20.0
75,394798,76,"Little Rock, AR",Msa,AR,58.0,53.0,53.0,31.0,35.0,36.0,41.0,40.0,44.0,48.0,56.0,59.0,58.0,50.0,40.0,39.0,37.0,35.0,30.0,31.0,34.0,41.0,60.0,71.0,77.0,67.0,54.0,43.0,31.0,26.0,17.0,14.0,16.0
76,395134,77,"Stockton, CA",Msa,CA,18.0,15.0,13.0,11.0,11.0,12.0,14.0,15.0,17.0,19.0,23.0,28.0,33.0,31.0,25.0,18.0,15.0,15.0,16.0,18.0,18.0,20.0,21.0,27.0,28.0,25.0,16.0,12.0,11.0,12.0,10.0,8.0,7.0
77,394457,78,"Charleston, SC",Msa,SC,33.0,30.0,23.0,17.0,17.0,18.0,19.0,23.0,26.0,28.0,30.0,33.0,38.0,36.0,30.0,22.0,22.0,23.0,25.0,26.0,29.0,30.0,31.0,33.0,37.0,34.0,27.0,20.0,20.0,20.0,19.0,17.0,14.0
78,395143,79,"Syracuse, NY",Msa,NY,66.0,68.0,61.0,50.0,38.0,34.0,33.0,36.0,43.0,48.0,51.0,55.0,62.0,66.0,57.0,44.0,30.0,24.0,23.0,25.0,29.0,33.0,36.0,44.0,52.0,48.0,34.0,26.0,22.0,,,,9.0
79,394484,80,"Colorado Springs, CO",Msa,CO,16.0,12.0,7.0,6.0,7.0,8.0,10.0,13.0,16.0,19.0,19.0,24.0,22.0,20.0,13.0,8.0,8.0,8.0,10.0,12.0,16.0,20.0,20.0,18.0,17.0,15.0,12.0,9.0,9.0,11.0,12.0,13.0,19.0
80,395235,81,"Winston-Salem, NC",Msa,NC,53.0,57.0,51.0,43.0,36.0,36.0,33.0,28.0,24.0,21.0,23.0,26.0,27.0,22.0,15.0,11.0,10.0,11.0,11.0,12.0,13.0,13.0,14.0,19.0,19.0,18.0,11.0,9.0,9.0,9.0,7.0,6.0,5.0
81,395224,82,"Wichita, KS",Msa,KS,45.0,43.0,34.0,25.0,19.0,18.0,18.0,20.0,23.0,24.0,24.0,30.0,36.0,39.0,31.0,22.0,16.0,14.0,14.0,14.0,15.0,18.0,19.0,23.0,23.0,23.0,18.0,13.0,9.0,8.0,7.0,6.0,6.0
82,395115,83,"Springfield, MA",Msa,MA,40.0,35.0,28.0,17.0,13.0,12.0,14.0,18.0,22.0,25.0,29.0,31.0,39.0,36.0,30.0,17.0,12.0,12.0,13.0,15.0,16.0,16.0,19.0,29.0,36.0,33.0,21.0,12.0,9.0,9.0,7.0,7.0,7.0
83,394440,84,"Fort Myers, FL",Msa,FL,43.0,43.0,43.0,45.0,48.0,51.0,50.0,49.0,48.0,47.0,46.0,46.0,51.0,52.0,55.0,56.0,60.0,62.0,65.0,64.0,62.0,54.0,48.0,47.0,51.0,51.0,49.0,46.0,50.0,50.0,50.0,40.0,34.0
84,394399,85,"Boise City, ID",Msa,ID,24.0,20.0,15.0,8.0,7.0,7.0,8.0,9.0,11.0,15.0,18.0,23.0,28.0,26.0,19.0,10.0,9.0,9.0,10.0,12.0,14.0,16.0,18.0,23.0,23.0,19.0,11.0,7.0,8.0,9.0,7.0,6.0,5.0
85,395160,86,"Toledo, OH",Msa,OH,45.0,40.0,32.0,20.0,15.0,13.0,13.0,15.0,19.0,22.0,27.0,35.0,40.0,40.0,29.0,20.0,12.0,10.0,11.0,12.0,15.0,17.0,20.0,24.0,32.0,29.0,23.0,13.0,10.0,8.0,6.0,6.0,6.0
86,394816,87,"Madison, WI",Msa,WI,55.0,48.0,33.0,27.0,25.0,29.0,30.0,34.0,37.0,42.0,47.0,55.0,58.0,55.0,40.0,29.0,24.0,24.0,28.0,31.0,34.0,38.0,44.0,53.0,61.0,55.0,42.0,29.0,27.0,24.0,21.0,19.0,23.0
87,394766,88,"Lakeland, FL",Msa,FL,25.0,25.0,23.0,20.0,19.0,19.0,19.0,20.0,20.0,21.0,21.0,27.0,31.0,32.0,30.0,26.0,27.0,25.0,25.0,23.0,22.0,25.0,26.0,29.0,30.0,29.0,25.0,20.0,18.0,19.0,17.0,15.0,11.0
88,394931,89,"Ogden, UT",Msa,UT,21.0,17.0,12.0,8.0,9.0,10.0,11.0,10.0,12.0,15.0,20.0,23.0,24.0,21.0,17.0,13.0,10.0,10.0,11.0,12.0,14.0,17.0,20.0,24.0,23.0,19.0,12.0,10.0,8.0,10.0,8.0,7.0,5.0
89,394528,90,"Daytona Beach, FL",Msa,FL,36.0,38.0,38.0,30.0,24.0,22.0,23.0,30.0,35.0,40.0,38.0,42.0,49.0,46.0,44.0,38.0,42.0,43.0,43.0,44.0,47.0,47.0,42.0,40.0,40.0,40.0,32.0,28.0,29.0,32.0,30.0,24.0,18.0
90,394531,91,"Des Moines, IA",Msa,IA,34.0,30.0,23.0,16.0,14.0,15.0,16.0,19.0,21.0,23.0,26.0,32.0,37.0,37.0,32.0,25.0,22.0,20.0,21.0,24.0,26.0,31.0,36.0,44.0,55.0,54.0,43.0,28.0,24.0,22.0,20.0,17.0,18.0
91,394711,92,"Jackson, MS",Msa,MS,51.0,45.0,41.0,34.0,33.0,30.0,27.0,29.0,31.0,35.0,40.0,48.0,56.0,51.0,39.0,27.0,23.0,24.0,25.0,30.0,30.0,32.0,33.0,38.0,42.0,39.0,32.0,25.0,22.0,22.0,19.0,18.0,16.0
92,394352,94,"Augusta, GA",Msa,GA,43.0,38.0,32.0,15.0,20.0,21.0,22.0,24.0,29.0,32.0,32.0,33.0,45.0,61.0,61.0,51.0,41.0,39.0,33.0,28.0,28.0,31.0,30.0,33.0,35.0,35.0,28.0,21.0,18.0,15.0,12.0,10.0,9.0
